speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	context	word	filename	status
KFN	e	e	0.148	5550	---	532	1611	2698	5.23	11.47	14.91	37.844	---	Wes 	KFN_1967_Language_flk	Auto
KFN	e	e	0.219	5550	---	473	1301	2213	4.73	10.11	13.57	38.562	---		KFN_1967_Language_flk	Auto
KFN	e	e	0.077	5550	---	461	1467	2385	4.62	10.87	14.08	38.871	---	eǯemdɨt 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.051	5250	---	475	1503	2369	4.74	11.03	14.03	39.088	---	eǯemdɨt 	KFN_1967_Language_flk	Auto
KFN	a	a	0.177	5250	---	778	1301	2444	7.10	10.11	14.24	39.799	---	targu 	KFN_1967_Language_flk	Auto
KFN	u	u	0.178	4750	---	379	1140	2271	3.88	9.29	13.75	40.137	---	targu 	KFN_1967_Language_flk	Auto
KFN	a	a	0.164	5250	---	733	1295	2600	6.79	10.08	14.66	40.360	---	nado. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.165	5250	---	703	1417	1753	6.57	10.65	12.02	40.646	---	nado. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.139	5550	---	483	1712	2709	4.81	11.87	14.94	41.781	---	Wes 	KFN_1967_Language_flk	Auto
KFN	e	e	0.196	5550	---	489	1354	2228	4.87	10.36	13.62	42.143	---	eǯemdɨt 	KFN_1967_Language_flk	Auto
KFN	e	e	0.051	5550	---	508	1518	2001	5.03	11.09	12.90	42.427	---	eǯemdɨt 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.029	5250	---	448	1511	2396	4.51	11.06	14.11	42.613	---	eǯemdɨt 	KFN_1967_Language_flk	Auto
KFN	a	a	0.177	5250	---	792	1377	2550	7.19	10.47	14.53	42.983	---	tarnat. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.157	5250	---	716	1380	2590	6.66	10.48	14.64	43.330	---	tarnat. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.109	5550	---	422	1941	2737	4.27	12.70	15.01	44.822	---	Wes 	KFN_1967_Language_flk	Auto
KFN	ü	ü	0.238	5750	---	325	1741	2329	3.37	11.98	13.92	45.211	---	püːʒat. 	KFN_1967_Language_flk	Auto
KFN	u	u	0.059	4750	---	407	999	1595	4.14	8.50	11.41	45.889	---	Kutɨnaj 	KFN_1967_Language_flk	Auto
KFN	ɨ (ɯ)	ɨ	0.055	5250	---	452	1471	2177	4.55	10.89	13.46	46.010	---	Kutɨnaj 	KFN_1967_Language_flk	Auto
KFN	a	a	0.071	5250	---	626	1574	2507	5.99	11.32	14.41	46.143	---	Kutɨnaj 	KFN_1967_Language_flk	Auto
KFN	u	u	0.080	4750	---	353	927	2201	3.64	8.07	13.54	46.380	---	kutarnaj 	KFN_1967_Language_flk	Auto
KFN	a	a	0.082	5250	---	641	1247	2297	6.10	9.84	13.83	46.546	---	kutarnaj 	KFN_1967_Language_flk	Auto
KFN	e	e	0.100	5550	---	503	1969	2643	4.98	12.80	14.77	47.030	---	čenčela 	KFN_1967_Language_flk	Auto
KFN	e	e	0.102	5550	---	440	1923	2122	4.44	12.64	13.29	47.318	---	čenčela 	KFN_1967_Language_flk	Auto
